player,position,team,points,floor,ceiling,position_rank,sd_adp,bye,adp_espn,adp_sleeper,adp_rtsports,params,p_injury_game,injury_risk,flex_rank
Dalton Schultz,TE,HOU,141.0,128.0,161.0,12.0,13.2,7.0,117.0,112.0,136.0,"{'a': 6.25, 'loc': 128.0, 'scale': 16.85}",0.026,High,
Kirk Cousins,QB,MIN,277.0,269.0,283.0,10.0,11.6,13.0,86.0,109.0,118.0,"{'a': -2.75, 'loc': 281.75, 'scale': 6.45}",0.004, Low,
Trevor Lawrence,QB,JAC,275.0,255.0,306.0,11.0,6.1,9.0,59.0,52.0,61.0,"{'a': 6.25, 'loc': 255.0, 'scale': 25.95}",0.011, Low,
Dak Prescott,QB,DAL,274.0,255.0,297.0,12.0,10.7,7.0,89.0,88.0,92.0,"{'a': 2.25, 'loc': 260.25, 'scale': 18.9}",0.041,High,
Jahan Dotson,WR,WAS,189.0,175.0,214.0,35.0,6.1,14.0,95.0,91.0,85.0,"{'a': 5.75, 'loc': 175.25, 'scale': 19.75}",0.052,High,57.0
Geno Smith,QB,SEA,272.0,252.0,290.0,13.0,10.7,5.0,121.0,124.0,129.0,"{'a': -1.5, 'loc': 282.25, 'scale': 15.35}",0.013,Low,
Brian Robinson,RB,WAS,156.0,126.0,197.0,35.0,8.4,14.0,99.0,102.0,84.0,"{'a': 3.75, 'loc': 129.25, 'scale': 34.5}",0.045,Medium,83.5
George Pickens,WR,PIT,187.0,168.0,225.0,36.0,8.1,6.0,76.0,75.0,74.0,"{'a': 6.25, 'loc': 168.0, 'scale': 29.1}",0.023,Low,58.5
Cole Kmet,TE,CHI,133.0,106.0,153.0,13.0,16.3,13.0,106.0,118.0,152.0,"{'a': -3.5, 'loc': 150.5, 'scale': 22.75}",0.015, Low,
Chigoziem Okonkwo,TE,TEN,132.0,120.0,158.0,14.0,16.4,7.0,162.0,141.0,146.0,"{'a': 6.25, 'loc': 120.0, 'scale': 19.3}",0.02,Low,
JuJu Smith-Schuster,WR,NE,186.0,160.0,218.0,37.5,7.7,11.0,114.0,106.0,100.0,"{'a': 2.25, 'loc': 167.25, 'scale': 25.9}",0.074, High,60.5
