player,position,team,points,floor,ceiling,position_rank,sd_adp,bye,adp_espn,adp_sleeper,adp_rtsports,params,p_injury_game,injury_risk,flex_rank
Derek Carr,QB,NO,235.0,212.0,258.0,19.5,17.6,11.0,165.0,167.0,161.0,"{'a': -0.0, 'loc': 235.0, 'scale': 13.899999999999999}",0.004, Low,
Kenny Pickett,QB,PIT,235.0,217.0,272.0,19.5,21.6,6.0,154.0,178.0,156.0,"{'a': 6.25, 'loc': 217.0, 'scale': 28.05}",0.021,Medium,
Romeo Doubs,WR,GB,150.0,129.0,180.0,55.0,11.6,6.0,180.0,163.0,122.0,"{'a': 4.5, 'loc': 130.25, 'scale': 25.4}",0.021,Low,88.0
Darnell Mooney,WR,CHI,149.0,130.0,171.0,56.5,11.6,13.0,141.0,154.0,172.0,"{'a': 1.75, 'loc': 137.0, 'scale': 17.35}",0.074, High,89.0
Devin Singletary,RB,HOU,116.0,88.0,153.0,47.5,14.6,7.0,151.0,168.0,144.0,"{'a': 3.25, 'loc': 92.25, 'scale': 31.05}",0.048,Medium,104.5
Jaylen Warren,RB,PIT,116.0,101.0,136.0,47.5,11.3,6.0,153.0,162.0,95.0,"{'a': 3.5, 'loc': 103.0, 'scale': 16.85}",0.048,Medium,104.5
DJ Chark,WR,CAR,146.0,128.0,184.0,58.5,12.1,7.0,148.0,196.0,209.0,"{'a': 6.25, 'loc': 128.0, 'scale': 28.6}",0.088, High,90.5
Skyy Moore,WR,KC,146.0,96.4,197.0,58.5,8.2,10.0,102.0,133.0,99.0,"{'a': 0.75, 'loc': 129.5, 'scale': 34.8}",0.074, High,90.5
Damien Harris,RB,BUF,114.0,76.9,146.0,49.0,8.8,13.0,188.0,148.0,123.0,"{'a': -1.75, 'loc': 134.0, 'scale': 29.15}",0.138, High,106.0
Tyler Allgeier,RB,ATL,112.0,88.5,142.0,51.0,10.7,11.0,158.0,153.0,139.0,"{'a': 2.75, 'loc': 93.25, 'scale': 24.9}",0.022,Low,107.0
KJ Osborn,WR,MIN,144.0,101.0,180.0,62.5,17.2,13.0,169.0,210.0,173.0,"{'a': -2.0, 'loc': 168.5, 'scale': 34.5}",0.03,Medium,92.5
Hunter Renfrow,WR,LVR,144.0,127.0,162.0,62.5,16.3,13.0,193.0,217.0,220.0,"{'a': 1.0, 'loc': 136.75, 'scale': 13.0}",0.038,Medium,92.5
Marquez Valdes-Scantling,WR,KC,143.0,117.0,171.0,65.0,13.8,10.0,196.0,216.0,217.0,"{'a': 1.25, 'loc': 129.75, 'scale': 21.05}",0.048,Medium,95.0
Kenneth Gainwell,RB,PHI,111.0,79.0,154.0,52.0,10.6,10.0,189.0,185.0,128.0,"{'a': 3.25, 'loc': 83.75, 'scale': 35.75}",0.015, Low,108.0
Elijah Moore,WR,CLE,143.0,64.4,194.0,65.0,7.4,5.0,145.0,117.0,115.0,"{'a': -6.0, 'loc': 193.75, 'scale': 66.05}",0.06,High,95.0
Michael Gallup,WR,DAL,143.0,114.0,161.0,65.0,13.9,7.0,144.0,189.0,197.0,"{'a': -5.75, 'loc': 160.75, 'scale': 23.85}",0.027,Low,95.0
Jordan Love,QB,GB,226.0,207.0,256.0,21.0,20.8,6.0,177.0,187.0,195.0,"{'a': 6.25, 'loc': 207.0, 'scale': 24.9}",0.015,Low,
Brock Purdy,QB,SF,225.0,190.0,266.0,22.5,26.2,9.0,164.0,159.0,179.0,"{'a': 1.75, 'loc': 203.0, 'scale': 32.0}",0.012, Low,
Matthew Stafford,QB,LAR,225.0,185.0,253.0,22.5,18.1,10.0,166.0,208.0,184.0,"{'a': -4.75, 'loc': 251.5, 'scale': 33.95}",0.05,High,
Quentin Johnston,WR,LAC,139.0,94.4,170.0,68.0,8.4,5.0,125.0,100.0,133.0,"{'a': -4.75, 'loc': 168.5, 'scale': 37.8}",0.039,Medium,97.0
Kyler Murray,QB,ARI,190.0,162.0,233.0,30.0,16.4,14.0,190.0,192.0,214.0,"{'a': 6.25, 'loc': 162.0, 'scale': 36.25}",0.05,High,
