"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"370","Jerick McKinnon","RB","KC",126,30.4,0.0161,96.6,180,-29.3,-30.2,-12,393,393,212,42,"10",126,4.22,75
"371","Denzel Perryman","LB","HOU",93.3,37.4,0.486,71.6,136,-29.3,-29.5,-26.6,392,383,333,52,"2",NA,NA,63
"372","Ezekiel Elliott","RB","NE",126,27.7,4.78,100,176,-29.4,-26.6,-16.8,394,362,261,43,"10",124,6.11,87
"373","Allen Lazard","WR","NYJ",158,22.4,0.29,128,190,-29.6,-32.1,-28,396,412,343,50,"8",136,3.36,62
"374","Jaelan Phillips","LB","MIA",92.9,NA,0.28,NA,NA,-29.8,NA,NA,399,NA,NA,53,"2",NA,6.74,NA
"375","Zay Flowers","WR","BAL",158,9.03,1.33,146,169,-29.9,-14,-48.7,403,241,501,51,"8",110,9.13,3
"376","Mike Gesicki","TE","NE",103,25.6,1.01,77.9,147,-29.9,-42.3,-13.7,402,498,233,27,"8",174,1.77,89
"377","Azeez Al-Shaair","LB","TEN",92.6,49.6,0.45,62.8,149,-30.1,-38.3,-13.5,404,466,227,54,"2",NA,7.2,96
"378","Joey Bosa","LB","LAC",92.1,NA,0.0936,NA,NA,-30.5,NA,NA,410,NA,NA,55,"2",NA,7.44,NA
"379","Ja'Whaun Bentley","LB","NE",92,38.4,0.505,70.2,136,-30.6,-30.9,-26.7,412,400,334,56,"2",NA,NA,65
"380","Logan Thomas","TE","WAS",102,8.78,1.56,95.7,119,-30.9,-24.5,-41.2,416,341,441,28,"8",170,1.73,34
"381","Robert Spillane","LB","LVR",91.5,53.9,0.364,61.7,153,-31.1,-39.5,-9.49,418,476,193,57,"2",NA,NA,99
"382","Zay Jones","WR","JAC",156,23.8,2.01,124,188,-31.2,-36.6,-29.5,419,451,352,52,"8",146,2.39,73
"383","Willie Gay","LB","KC",91.2,21.5,0.544,78.2,116,-31.5,-22.9,-47,420,329,487,58,"2",NA,NA,8
"384","Germaine Pratt","LB","CIN",90.6,35.9,0.0722,66.8,132,-32,-34.3,-31.3,423,430,368,59,"2",NA,NA,55
"385","Demario Davis","LB","NO",90.6,35,1.74,67.1,130,-32.1,-34.1,-32.4,424,427,377,60,"2",NA,6.67,53
"386","Luke Musgrave","TE","GB",101,32.3,0.785,39.6,129,-32.5,-80.6,-31.7,429,626,371,29,"8",155,2.86,99
"387","Nico Collins","WR","HOU",154,14.4,2.65,135,175,-33.2,-25.2,-42.8,432,346,451,53,"8",139,2.38,24
"388","Dawson Knox","TE","BUF",100,27.9,2.57,62.7,142,-33.2,-57.5,-18.6,433,569,275,30,"8",144,2.25,91
"389","Zach Charbonnet","RB","SEA",121,20.5,0.893,101,153,-34.1,-25.7,-39.9,444,351,429,44,"10",109,7.33,31
"390","Rashaad Penny","RB","PHI",121,20.3,0.396,88.7,143,-35,-38.1,-49.3,452,463,504,45,"10",111,4.04,49
"391","Elijah Mitchell","RB","SF",120,9.14,4.02,109,135,-35.4,-18.3,-57.3,457,289,570,46,"10",127,3.23,1
"392","Jelani Woods","TE","IND",97.5,14.4,2.84,75.7,113,-35.8,-44.5,-47.5,458,510,490,31,"8",171,1.56,51
"393","Adam Thielen","WR","CAR",152,22.4,1.27,129,192,-35.9,-30.9,-25.8,461,399,329,54,"8",137,3.62,76
"394","Derek Carr","QB","NO",235,17.9,0.1,212,258,-36.8,-40.3,-27.6,466,484,342,19,"7",141,3.76,35
"395","Kenny Pickett","QB","PIT",235,20,8.72,217,272,-36.9,-35.7,-14,468,440,241,20,"7",144,3.21,56
"396","Romeo Doubs","WR","GB",150,18.4,0.869,129,180,-37.2,-31.6,-37.7,472,407,410,55,"8",139,3.26,59
"397","Russell Gage","WR","TB",149,NA,0.546,NA,NA,-38,NA,NA,485,NA,NA,56,"8",NA,NA,99
"398","Darnell Mooney","WR","CHI",149,15.4,2.37,130,171,-38.6,-30.8,-46.4,497,397,479,57,"8",153,2.41,37
"399","Jake Ferguson","TE","DAL",94.7,26.2,6.6,53.7,123,-38.6,-66.5,-38,498,594,413,32,"9",163,2.05,97
"400","Devin Singletary","RB","HOU",116,22.1,0.597,88,153,-39.4,-38.8,-39.3,504,472,421,47,"10",146,2.84,59
"401","Jaylen Warren","RB","PIT",116,13.4,1.96,101,136,-40,-26.2,-56.2,512,356,561,48,"10",127,4.7,14
"402","D.J. Chark","WR","CAR",146,20.1,0.268,128,184,-40.9,-31.9,-34.2,526,410,390,58,"8",151,3.28,69
"403","Skyy Moore","WR","KC",146,32.6,1.22,96.4,197,-41.2,-64,-21.3,529,585,300,59,"8",120,4.11,94
"404","Damien Harris","RB","BUF",114,25.3,0.984,76.9,146,-42,-49.9,-46.7,534,546,482,49,"10",129,2.76,66
"405","Curtis Samuel","WR","WAS",145,15.1,0.176,125,167,-42.4,-35.1,-51.3,537,434,519,60,"8",177,2.38,54
"406","Jarvis Landry","WR","FA",145,NA,1.01,NA,NA,-42.6,NA,NA,541,NA,NA,61,"8",NA,NA,99
"407","Chuba Hubbard","RB","CAR",113,23,0.591,84.7,149,-43,-42.2,-43.5,551,497,456,50,"10",157,1.77,70
"408","Tyler Allgeier","RB","ATL",112,20.1,0.821,88.5,142,-43.6,-38.3,-50.5,562,465,513,51,"10",133,2.27,48
"409","K.J. Osborn","WR","MIN",144,28.1,0.17,101,180,-43.6,-59.3,-37.4,563,573,409,62,"8",161,2.83,92
"410","Hunter Renfrow","WR","LVR",144,11.3,0.249,127,162,-43.8,-32.9,-55.5,565,422,551,63,"8",171,2.54,42
"411","Marquez Valdes-Scantling","WR","KC",143,20.9,0.685,117,171,-44,-43.1,-46.6,568,500,480,64,"8",166,3.08,80
"412","Kenneth Gainwell","RB","PHI",111,27.9,9.22,79,154,-44.4,-47.8,-38.9,570,535,416,52,"11",136,2.68,82
"413","Elijah Moore","WR","CLE",143,42.7,0.135,64.4,194,-44.7,-95.9,-24.3,572,661,317,65,"8",125,2.86,97
"414","Michael Gallup","WR","DAL",143,20.7,2.97,114,161,-44.9,-46.8,-56.7,574,531,563,66,"9",155,2.28,65
"415","Michael Mayer","TE","LVR",88,25.9,0.437,42.8,121,-45.2,-77.4,-39.2,578,616,420,33,"9",164,4.46,86
"416","Jordan Love","QB","GB",226,18.4,0.654,207,256,-45.6,-45.8,-29.4,582,522,350,21,"7",153,4.75,53
"417","Taysom Hill","TE","NO",87.6,32.2,7.32,54.8,147,-45.7,-65.4,-13.8,583,590,234,34,"9",157,2.4,94
"418","Brock Purdy","QB","SF",225,27.1,0.268,190,266,-46.3,-62.8,-20.1,586,581,287,22,"7",144,5.2,85
"419","Matthew Stafford","QB","LAR",225,23.2,7.44,185,253,-46.5,-67.4,-32.4,590,595,376,23,"8",148,3.3,59
"420","DeVante Parker","WR","NE",140,27.3,0.128,116,181,-47.8,-44.2,-37.2,606,507,407,67,"9",175,2.52,90
"421","Quentin Johnston","WR","LAC",139,25.7,3.41,94.4,170,-48,-65.9,-48.1,607,592,493,68,"9",123,8.39,79
"422","Donovan Peoples-Jones","WR","CLE",136,34.6,3.29,107,199,-51.4,-53.8,-19.3,629,557,282,69,"9",156,1.94,96
"423","Trey McBride","TE","ARI",80.3,21.4,5.12,61,116,-53,-59.2,-44.4,639,572,465,35,"9",170,1.2,80
"424","DOnta Foreman","RB","CHI",102,28.5,5.92,64.5,145,-53.6,-62.3,-47,645,579,486,53,"11",141,2.34,86
"425","Jimmy Garoppolo","QB","LVR",218,20.1,4.84,197,247,-54,-55.7,-38.9,649,564,417,24,"8",162,3.25,65
"426","Alec Pierce","WR","IND",133,26.1,2.21,111,180,-54.6,-49.3,-38.2,653,544,414,70,"9",174,1.43,87
"427","Mecole Hardman","WR","NYJ",131,31.4,1.1,104,186,-56.9,-56.4,-31.6,664,567,370,71,"9",180,1.61,93
"428","Robert Woods","WR","HOU",129,20.2,0.806,107,154,-58,-53.2,-63.7,672,555,596,72,"9",179,3.64,83
"429","Isaiah Likely","TE","BAL",75.2,26,0.725,45.9,120,-58.1,-74.3,-40.1,675,605,431,36,"9",184,2.54,74
"430","Bryce Young","QB","CAR",213,16.5,3.35,195,237,-58.8,-57,-48.4,682,568,496,25,"8",153,10.6,62
"431","Cordarrelle Patterson","RB","ATL",96,16.7,1.7,72.5,118,-59.5,-54.3,-74.1,689,561,617,54,"11",160,2.05,69
"432","Devon Achane","RB","MIA",94.3,50,0.0334,25.1,174,-61.2,-102,-18.9,698,682,279,55,"11",127,4.78,99
"433","Tank Bigsby","RB","JAC",94.3,15.8,3.78,66.4,109,-61.3,-60.4,-83.1,699,576,637,56,"11",127,5.01,62
"434","Ryan Tannehill","QB","TEN",210,27.1,4.38,184,254,-62.2,-68.7,-31.5,705,597,369,26,"8",155,4.45,68
"435","Chase Edmonds","RB","TB",90.5,31,2.09,30.2,116,-65,-96.6,-76.3,726,665,623,57,"11",173,2.46,90
"436","Mac Jones","QB","NE",205,28.6,3.76,174,235,-66.6,-78.7,-50.9,730,621,515,27,"8",154,3.01,82
"437","Tyjae Spears","RB","TEN",88.4,29.4,2.78,60.4,144,-67.1,-66.4,-48.1,735,593,492,58,"12",150,4.93,92
"438","Gus Edwards","RB","BAL",85.6,13.3,1.37,63.6,99,-69.9,-63.2,-93.5,749,582,658,59,"12",159,1.87,54
"439","Sam Howell","QB","WAS",201,41.8,2.95,143,257,-70.3,-110,-28.2,753,723,345,28,"9",153,3.26,97
"440","Joshua Kelley","RB","LAC",84.3,22.8,0.283,47.8,108,-71.3,-79,-84.1,762,622,641,60,"12",171,1.64,76
"441","Zamir White","RB","LVR",84,37.2,1.07,51.9,141,-71.6,-74.9,-51,764,608,517,61,"12",155,2.07,93
"442","Jerome Ford","RB","CLE",82.9,23.3,0.807,43.8,107,-72.6,-83,-85.2,767,633,645,62,"12",171,2.6,80
"443","C.J. Stroud","QB","HOU",198,24.6,8.38,175,235,-73.3,-77.6,-51.1,771,617,518,29,"9",155,13.7,71
"444","Clyde Edwards-Helaire","RB","KC",82.1,22.8,5.41,44.4,105,-73.4,-82.4,-87.7,772,631,647,63,"12",158,3.03,79
"445","J.D. McKissic","RB","FA",76.7,NA,1.1,NA,NA,-78.8,NA,NA,801,NA,NA,64,"12",NA,NA,73
"446","Kyren Williams","RB","LAR",75.6,12.9,1.55,53.6,91.6,-80,-73.2,-101,807,603,678,65,"12",172,1.71,56
"447","Deuce Vaughn","RB","DAL",74,24,5.13,47.4,99.6,-81.5,-79.4,-92.9,811,625,657,66,"12",153,3.82,89
"448","Kyler Murray","QB","ARI",190,28.4,4.67,162,233,-81.6,-90.5,-52.7,812,646,532,30,"9",160,5.45,91
"449","Desmond Ridder","QB","ATL",185,24.1,15.1,150,217,-86.3,-103,-69,835,688,608,31,"10",154,3.7,76
"450","Kenyan Drake","RB","FA",68.9,25.3,1.31,51.5,86.3,-86.6,-75.3,-106,836,610,690,67,"12",NA,3.62,72
"451","Keaontay Ingram","RB","ARI",67.6,11.8,0.713,52.9,79.1,-87.9,-73.9,-113,843,604,707,68,"12",171,2.1,61
"452","Darrell Henderson","RB","FA",66.9,NA,3.46,NA,NA,-88.6,NA,NA,846,NA,NA,69,"13",NA,NA,63
"453","Sean Tucker","RB","TB",63.4,34.3,0.0369,28,93.4,-92.1,-98.8,-99.1,866,670,672,70,"13",151,2.6,96
"454","Dontrell Hilliard","RB","FA",63.4,NA,1.6,NA,NA,-92.1,NA,NA,867,NA,NA,71,"13",NA,NA,18
"455","Rico Dowdle","RB","DAL",61.8,52.8,0.697,27.7,135,-93.8,-99.1,-57.1,876,674,569,72,"13",173,7.44,99
"456","Baker Mayfield","QB","TB",170,51.4,99.5,96.3,230,-101,-156,-55.7,934,902,555,32,"11",156,5.63,99
"457","Matt Ryan","QB","FA",70.8,NA,5.82,NA,NA,-201,NA,NA,1280,NA,NA,33,"12",NA,NA,NA
"458","Colt McCoy","QB","ARI",64.9,27.6,9.54,22.4,102,-207,-230,-184,1280,911,883,34,"12",170,3.22,74
"459","Kyle Trask","QB","TB",55.4,38.2,1.55,5.71,91.3,-216,-247,-194,1280,932,893,35,"12",170,2.18,88
"460","Gardner Minshew","QB","IND",53.8,44.1,0.452,9.63,123,-218,-243,-163,1280,922,841,36,"12",170,1.61,94
