"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"223","Matt Judon","DL","NE",63.8,1.77,0.221,62.5,65,-10.7,-6,-25.8,216,170,330,28,"5",NA,8.35,11
"224","Jartavius Martin","DB","WAS",94.2,NA,0.483,NA,NA,-10.7,NA,NA,215,NA,NA,28,"2",NA,2.88,NA
"225","Jaguars","DST","JAC",85.7,10.8,2.19,68,95.3,-10.9,-16.9,-15.8,217,272,250,21,"12",164,0.57,77
"226","Randy Gregory","DL","DEN",63.6,2.47,1.84,62,65.4,-11,-6.51,-25.4,218,174,325,29,"5",NA,3.12,18
"227","Jamal Adams","DB","SEA",93.7,10.6,0.277,83.6,104,-11.2,-6.64,-20.7,219,175,292,29,"2",NA,6.62,20
"228","Josey Jewell","LB","DEN",111,29.1,0.899,91.8,144,-11.3,-9.33,-18.4,220,195,273,23,"1",NA,8.21,33
"229","Gabriel Davis","WR","BUF",176,15.6,0.629,156,192,-11.4,-4.27,-25.9,221,154,332,40,"7",102,4.98,23
"230","Jordan Poyer","DB","BUF",93.4,13.1,0.454,85.7,108,-11.4,-4.57,-15.9,222,157,253,30,"2",NA,4.1,39
"231","Dalton Kincaid","TE","BUF",122,26.4,2.15,90.2,166,-11.6,-30,5.31,223,391,113,18,"6",122,5.74,77
"232","Kerby Joseph","DB","DET",93,17.9,0.0368,78,112,-11.9,-12.2,-12.1,224,221,213,31,"2",NA,NA,57
"233","Kyle Hamilton","DB","BAL",93,11.6,1.69,81.4,103,-11.9,-8.81,-21.5,225,189,301,32,"2",NA,NA,28
"234","Michael Thomas","WR","NO",175,17.9,4.34,160,208,-12,-0.391,-10.3,226,132,198,41,"7",107,7.14,34
"235","Darius Leonard","LB","IND",110,12.9,0.0442,101,125,-12.2,-0.35,-38,227,131,412,24,"1",NA,15.4,6
"236","Tremaine Edmunds","LB","CHI",110,32.9,1.06,90.7,148,-12.3,-10.4,-14.8,228,206,247,25,"2",NA,8.78,45
"237","Matt Gay","K","IND",132,8.42,0.203,122,145,-12.7,-9.37,-12.6,229,196,220,21,"3",175,1.65,61
"238","Demarcus Lawrence","DL","DAL",61.8,16.2,0.611,50.6,80.2,-12.8,-18,-10.6,230,283,199,30,"5",NA,NA,65
"239","Chase McLaughlin","K","TB",132,8.86,0.213,116,140,-12.9,-15.8,-17.1,231,264,262,22,"3",170,0,65
"240","Cairo Santos","K","CHI",132,10.2,0.905,119,148,-13.1,-13.1,-9.63,233,230,194,23,"3",170,0,74
"241","Bengals","DST","CIN",83.5,8.84,0.222,68.9,91.9,-13.1,-16,-19.2,232,265,281,22,"12",172,0.5,32
"242","Giants","DST","NYG",83.3,8.73,0.712,68.2,92.4,-13.3,-16.7,-18.7,234,271,276,23,"13",180,0,52
"243","Ernest Jones","LB","LAR",109,40.9,0.187,82.9,156,-13.3,-18.2,-6.77,235,288,180,26,"2",NA,5.62,78
"244","ZaDarius Smith","DL","CLE",61.2,14,0.00616,51.5,77.2,-13.4,-17.1,-13.7,236,275,231,31,"5",NA,NA,53
"245","Javon Hargrave","DL","SF",61.2,14.7,0.0188,50.6,77.8,-13.4,-18,-13,237,284,222,32,"5",NA,5.16,56
